's , is
'S , IS
I'm,I am
isn't,is not
wasn't,was not
aren't,are not
don't,do not
I'll,I will
didn't,did not
you'll,you will
I've,I have
can't,can not
hasn't,has not
doesn't,does not
you're,you are
You're,You are
Don't,DO not
You'll,You will
couldn't,could not
hadn't,had not
haven't,have not
wouldn't,would not
they'll,they will
They'll,They will
Can't,Can not
weren't,were not
you'd,you would
They're,They are
won't,will not
we're,we are
Couldn't,Could not
I'd,I had
we're,we are
they're,they are
they'd,they would
DON'T,DO NOT
you've,you have
